Study,Year,Title,Host Organism,Host Classification,Host Habitat,Parasite Organism,Parasite Class,Macro v micro,TheoryEmpiricism,ObservationExperiment,Title Word,DOI,Disease scale
Baines et al,2020,Parasitism Risk and Infection Alter Host Dispersal,Notonecta undulata,Invertebrate,Semiaquatic,Hydrachnidia mites,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/709163,among patches
Becker et al,2018,Host Dispersal Responses to Resource Supplementation Determine Pathogen Spread in Wildlife Metapopulations,NA,General,NA,NA,general,general,Theory,NA,Pathogen,10.1086/699477,among patches
Soubeyrand et al,2009,Spatiotemporal Structure of Host-Pathogen Interactions in a Metapopulation,Plantago lanceolata,Plant,Terrestrial,Podosphaera,fungi,Microparasite,T/E,Observation,Pathogen,10.1086/603624,among patches
Mundt et al,2009,Long-Distance Dispersal and Accelerating Waves of Disease: Empirical Relationships,Triticum aestivum,Plant,Terrestrial,Puccinia striiformis,fungi,Microparasite,T/E,Observation/Experiment,Disease,10.1086/597220,among patches
Goubault et al,2012,Previous Experience and Contest Outcome: Winner Effects Persist in Absence of Evident Loser Effects in a Parasitoid Wasp,Callosobruchus maculatus,Invertebrate,Terrestrial,Eupelmus vuilleti,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/667192,between hosts
Djemai et al,2000,Geometrical games between a host and a parasitoid,Phyllonorycter malella,Invertebrate,Terrestrial,Sympiesis sericeicornis,invertebrate,Macroparasite,Empirical,Experimental,Parasit*,10.1086/303388,between hosts
Ives et al,1999,Variability and parasitoid foraging efficiency: A case study of pea aphids and Aphidius ervi,Pea aphids,Invertebrate,Terrestrial,Hymenoptera,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/303269,between hosts
MCCAULEY et al,1994,INTRADEMIC GROUP SELECTION IMPOSED BY A PARASITOID-HOST INTERACTION,Beetle,Invertebrate,Terrestrial,Parasitoid fly,invertebrate,Macroparasite,Empirical,Observation & Experiment,Parasit*,10.1086/285657,between hosts
Lively et al,2004,Host sex and local adaptation by parasites in a snail-trematode interaction,Snail,Invertebrate,Aquatic,Trematode,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/424605,between hosts
Hastings et al,1999,"Learning, host fidelity, and the stability of host-parasitoid communities",Arthropods,Invertebrate,Terrestrial,Parasitoids,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/303172,between hosts
HOLT et al,1993,APPARENT COMPETITION AND ENEMY-FREE SPACE IN INSECT HOST-PARASITOID COMMUNITIES,Insects,Invertebrate,Terrestrial,Hymenoptera,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/285561,between hosts
HOCHBERG et al,1993,PREDICTING PARASITOID SPECIES RICHNESS,Insects,Invertebrate,Terrestrial,Hymenoptera,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/285563,between hosts
Wilson et al,1996,"Host-parasitoid food webs: Dynamics, persistence, and invasion",Insects,Invertebrate,Terrestrial,Parasitoid insects,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/285956,between hosts
Gibson et al,2018,"Periodic, Parasite-Mediated Selection For and Against Sex",Potamopyrgus antipodarum,Invertebrate,Aquatic,Microphallus sp.,trematode,Macroparasite,Empirical,Observation/Experiment,Parasit*,10.1086/699829,between hosts
Kyle et al,2020,Stochasticity and Infectious Disease Dynamics: Density and Weather Effects on a Fungal Insect Pathogen,Gypsy moth,Invertebrate,Terrestrial,Entomophaga maimaiga,fungi,Microparasite,T/E,Observation/Experiment,"Disease, Pathogen",10.1086/707138,between hosts
BRIGGS et al,1995,THE DYNAMICS OF INSECT-PATHOGEN INTERACTIONS IN STAGE-STRUCTURED POPULATIONS,Insects,Invertebrate,Terrestrial,Pathogens,generic microparasites,Microparasite,Theory,NA,Pathogen,10.1086/285774,between hosts
Bonsall et al,1999,Does host self-regulation increase the likelihood of insect-pathogen population cycles?,Insects,Invertebrate,Terrestrial,Pathogens,generic microparasites,Microparasite,Theory,NA,Pathogen,10.1086/303161,between hosts
Ebert et al,2000,The effect of parasites on host population density and extinction: Experimental epidemiology with Daphnia and six microparasites,Daphnia magna,Invertebrate,Aquatic,6 different parasites,mixed,Microparasite,T/E,Experimental,Parasit*,10.1086/303404,between hosts
Duffy et al,2008,Selective predation and rapid evolution can jointly dampen effects of virulent parasites on Daphnia Populations,Daphnia dentifera,Invertebrate,Aquatic,Metschnikowia bicuspidata/Spriobacillus cienkowskii,mixed,Microparasite,T/E,Observation/Experiment,Parasit*,10.1086/528998,between hosts
Eakin et al,2015,The Effects of the Avoidance of Infectious Hosts on Infection Risk in an Insect-Pathogen Interaction,Gypsy moth,Invertebrate,Terrestrial,gypsy moth virus,virus,Microparasite,T/E,Experiment,Pathogen,10.1086/678989,between hosts
Elderd et al,2008,"Host-Pathogen Interactions, Insect Outbreaks, and Natural Selection for Disease Resistance",Lymantria dispar,Invertebrate,Terrestrial,baculovirus,virus,Microparasite,T/E,Experiment,"Disease, Pathogen",10.1086/592403,between hosts
Fuller et al,2012,"Pathogen Persistence in the Environment and Insect-Baculovirus Interactions: Disease-Density Thresholds, Epidemic Burnout, and Insect Outbreaks",Lymantria dispar,Invertebrate,Terrestrial,baculovirus,virus,Microparasite,T/E,Experiment,"Disease, Pathogen",10.1086/664488,between hosts
Mihaljevic et al,2020,An Empirical Test of the Role of Small-Scale Transmission in Large-Scale Disease Dynamics,Orgyia pseudotsugata,Invertebrate,Terrestrial,baculovirus,virus,Microparasite,T/E,Observation/Experiment,Disease,10.1086/707457,between hosts
Dwyer et al,1997,Host heterogeneity in susceptibility and disease dynamics: Tests of a mathematical model,Lymantria dispar,Invertebrate,Terrestrial,baculovirus,virus,Microparasite,T/E,Experiment,Disease,10.1086/286089,between hosts
Dwyer et al,2000,Pathogen-driven outbreaks in forest defoliators revisited: Building models from experimental data,Gypsy moth,Invertebrate,Terrestrial,gypsy moth virus,virus,Microparasite,T/E,Observation & Experiment,Pathogen,10.1086/303379,between hosts
Caraco et al,2002,Stage-structured infection transmission and a spatial epidemic: A model for Lyme disease,Peromyscus leucopus; Ixodes scapularis,Mixed,Terrestrial,Borrelia burgdorferi,bacteria,Microparasite,Theory,NA,Disease,10.1086/341518,between hosts
BRIGGS et al,1993,COMPETITION AMONG PARASITOID SPECIES ON A STAGE-STRUCTURED HOST AND ITS EFFECT ON HOST SUPPRESSION,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/285479,between hosts
Choisy et al,2003,Evolution of trophic transmission in parasites: Why add intermediate hosts?,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/375681,between hosts
O'Regan et al,2015,Interspecific Contact and Competition May Affect the Strength and Direction of Disease-Diversity Relationships for Directly Transmitted Microparasites,NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/682721,between hosts
Chen and Zhou,2015,A Combination of Species Evenness and Functional Diversity Is the Best Predictor of Disease Risk in Multihost Communities,NA,General,NA,NA,general,general,Theory,NA,Disease,10.1086/683774,between hosts
